Subject,Sex,Age_group,Age_range
1004,0,3,25-29 years
1112,1,2,20-24 years
1060,1,2,20-24 years
926,1,2,20-24 years
482,1,1,18-19 years
752,1,2,20-24 years
80,1,3,25-29 years
830,1,4,30-34 years
250,0,5,35-39 years
644,1,2,20-24 years
322,0,2,20-24 years
736,0,2,20-24 years
854,1,2,20-24 years
1115,0,2,20-24 years
1003,1,2,20-24 years
643,0,2,20-24 years
837,1,3,25-29 years
87,0,8,50-54 years
187,0,3,25-29 years
755,0,3,25-29 years
109,0,2,20-24 years
341,1,2,20-24 years
485,1,2,20-24 years
921,1,2,20-24 years
853,1,13,75-79 years
731,0,3,25-29 years
579,1,2,20-24 years
325,1,2,20-24 years
945,0,3,25-29 years
738,1,3,25-29 years
570,1,4,30-34 years
402,1,2,20-24 years
514,1,3,25-29 years
100,0,3,25-29 years
348,0,4,30-34 years
928,1,2,20-24 years
63,1,2,20-24 years
577,1,3,25-29 years
107,1,1,18-19 years
513,0,2,20-24 years
89,0,2,20-24 years
839,1,8,50-54 years
259,1,2,20-24 years
405,0,4,30-34 years
954,1,3,25-29 years
720,0,2,20-24 years
568,1,3,25-29 years
334,1,2,20-24 years
842,1,7,45-49 years
636,1,7,45-49 years
222,1,2,20-24 years
494,0,3,25-29 years
744,1,2,20-24 years
118,1,2,20-24 years
18,0,2,20-24 years
350,0,10,60-64 years
582,0,4,30-34 years
196,0,5,35-39 years
96,1,7,45-49 years
1076,1,5,35-39 years
10,0,2,20-24 years
1104,0,3,25-29 years
225,0,2,20-24 years
479,1,4,30-34 years
631,0,2,20-24 years
845,1,3,25-29 years
333,1,10,60-64 years
727,0,2,20-24 years
953,0,2,20-24 years
241,1,2,20-24 years
91,0,12,70-74 years
191,0,5,35-39 years
821,1,2,20-24 years
585,1,7,45-49 years
357,1,6,40-44 years
743,0,3,25-29 years
493,1,2,20-24 years
1071,1,3,25-29 years
1103,1,2,20-24 years
198,1,3,25-29 years
98,1,1,18-19 years
828,0,8,50-54 years
116,0,2,20-24 years
16,0,3,25-29 years
470,0,4,30-34 years
638,0,8,50-54 years
566,0,3,25-29 years
1092,0,6,40-44 years
1078,1,3,25-29 years
11,1,2,20-24 years
111,0,7,45-49 years
359,0,2,20-24 years
729,1,3,25-29 years
561,0,4,30-34 years
175,0,3,25-29 years
477,0,4,30-34 years
1095,1,2,20-24 years
1043,1,2,20-24 years
1027,1,2,20-24 years
715,1,2,20-24 years
301,0,3,25-29 years
49,0,10,60-64 years
149,1,2,20-24 years
961,1,2,20-24 years
603,1,2,20-24 years
217,0,4,30-34 years
877,1,1,18-19 years
905,0,3,25-29 years
667,1,2,20-24 years
8,1,3,25-29 years
1044,1,2,20-24 years
7,1,2,20-24 years
1020,0,5,35-39 years
388,1,2,20-24 years
870,1,4,30-34 years
604,0,6,40-44 years
966,0,2,20-24 years
306,1,3,25-29 years
712,1,2,20-24 years
660,1,4,30-34 years
428,1,14,80-84 years
902,1,2,20-24 years
1029,0,2,20-24 years
6,1,4,30-34 years
985,0,3,25-29 years
669,1,7,45-49 years
421,0,3,25-29 years
893,0,2,20-24 years
23,0,3,25-29 years
537,0,3,25-29 years
879,1,,Unknown
381,0,10,60-64 years
795,1,2,20-24 years
219,0,8,50-54 years
445,1,3,25-29 years
47,0,5,35-39 years
147,0,4,30-34 years
553,1,1,18-19 years
9,1,3,25-29 years
24,0,4,30-34 years
894,1,11,65-69 years
426,1,2,20-24 years
982,0,2,20-24 years
1,1,2,20-24 years
308,0,2,20-24 years
140,0,8,50-54 years
40,1,2,20-24 years
290,1,1,18-19 years
968,1,4,30-34 years
442,0,3,25-29 years
792,0,3,25-29 years
386,1,3,25-29 years
373,1,4,30-34 years
767,1,2,20-24 years
265,1,11,65-69 years
671,0,3,25-29 years
439,1,2,20-24 years
805,0,2,20-24 years
201,1,2,20-24 years
615,1,2,20-24 years
399,1,4,30-34 years
1031,1,2,20-24 years
1055,0,6,40-44 years
802,1,2,20-24 years
676,0,2,20-24 years
262,1,1,18-19 years
528,0,2,20-24 years
374,1,4,30-34 years
206,1,2,20-24 years
288,1,2,20-24 years
58,1,2,20-24 years
1120,0,3,25-29 years
1036,1,2,20-24 years
397,1,2,20-24 years
453,0,5,35-39 years
695,0,4,30-34 years
979,1,2,20-24 years
281,0,4,30-34 years
51,1,,Unknown
437,1,2,20-24 years
521,1,2,20-24 years
769,0,2,20-24 years
35,0,12,70-74 years
20,1,2,20-24 years
135,1,2,20-24 years
56,1,2,20-24 years
286,1,2,20-24 years
692,1,4,30-34 years
454,0,2,20-24 years
390,0,4,30-34 years
784,1,2,20-24 years
882,1,1,18-19 years
132,1,3,25-29 years
32,0,1,18-19 years
526,0,2,20-24 years
994,1,3,25-29 years
678,1,2,20-24 years
430,0,8,50-54 years
2,1,2,20-24 years
1038,0,4,30-34 years
