Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.456811111300055,422.168027477209,611.5591735060366,844.0,,,,,,,,,,,,,,,
1,1,2086.1506781997123,2737.58862687556,5.095930801703939,2186.2739827004316,-3224.2391665149717,7.643896202591684,2222.503373225143,34492.813773086724,9.82232073678893,2246.4520345991364,-5956.298399911338,7.530842951180774,2482.6848338958243,10571.92096136063,37.50096434082939,0.9403921995351072,97.0,93.0,73.0,269.0,342.0,4.0,,,32.0,20.0,12.0,0.625,461.5724092289481,1418.0914995798346,14.0,4.0,10.0,0.2857142857142857,487.81356644535225,576.1723272446371,24.0,13.0,11.0,0.5416666666666666,1709.3596322523847,30322.692461045503,12.0,3.0,9.0,0.25,1200.047134234567,16051.903018433037,91.0,49.0,42.0,0.5384615384615384,474.64982868546815,11096.70933987433,0.0,0.0,0.0,0.0,2085.0,2089.0,2182.0,2196.0,2210.0,2234.0,2243.0,2255.0,2445.0,2524.0,0.16860546712445465,-0.15129571388856433,0.04955697854914131,-0.20147532135939164,0.04489721692209659
2,2,3103.0273736989925,3191.2329159492756,17.8357578060484,3184.8493218002877,-1821.211188775083,5.095930801728113,3243.0380748207185,35800.58903796246,9.54483123286784,3267.1506781997123,-5436.670323959564,5.095930801728113,3495.539001478263,10040.485339748644,40.7550976941759,0.9512127624209058,83.0,63.0,92.0,269.0,361.0,20.0,1019.0,1022.0,55.0,31.0,24.0,0.5636363636363636,434.4165842657734,2982.257301342715,11.0,3.0,8.0,0.2727272727272727,385.4554531286233,1416.9161527361484,24.0,12.0,12.0,0.5,1810.009208267253,32794.553832507285,8.0,1.0,7.0,0.125,1204.8118027893863,15491.67753485821,95.0,44.0,51.0,0.4631578947368421,446.2548697428373,9939.455671131069,0.0,0.0,0.0,0.0,3099.0,3119.0,3182.0,3186.0,3231.0,3255.0,3266.0,3274.0,3467.0,3543.0,0.13612813470763235,-0.2116478613267659,0.050558084570841655,-0.2216083983389145,0.04444554766453242
3,3,4045.7783053602247,3025.96837792708,16.757734503752584,4122.6015377424565,-3006.5876675789455,5.095930801728113,4199.166221761043,35820.4387283316,9.419702983589264,4226.301356399425,-4522.662247341938,8.410122763712364,4459.2601729956805,10567.117624418488,37.19964992580915,0.9362401885077904,84.0,59.0,118.0,270.0,388.0,25.0,939.0,953.0,28.0,17.0,11.0,0.6071428571428571,464.5323242579088,2904.225963881451,11.0,9.0,2.0,0.8181818181818182,417.3495312668434,3409.07857868958,24.0,12.0,12.0,0.5,1748.085131806169,33464.74996095218,11.0,5.0,6.0,0.4545454545454545,887.0999132473775,12522.969763225794,88.0,45.0,43.0,0.5113636363636364,418.5304740271074,10661.688181929814,0.0,0.0,0.0,0.0,4030.0,4055.0,4114.0,4125.0,4187.0,4211.0,4221.0,4232.0,4414.0,4502.0,0.1535152606505867,-0.138811695320667,0.04880133225234757,-0.19614551446302325,0.03960687189285823
4,4,4974.821948101295,3256.2064469987968,22.931688607749013,5098.027373699837,-2125.3749930777585,17.835757793459756,5134.082282238493,36463.1190347018,9.74950218341727,5159.301356399425,-5859.742404095934,7.205247452889246,5391.958816596257,10850.772395094787,36.882414990357034,0.9464511675227216,130.0,91.0,76.0,261.0,337.0,39.0,926.0,938.0,40.0,13.0,27.0,0.325,416.38738197837216,3220.355989328976,18.0,7.0,11.0,0.3888888888888889,467.16954672049536,221.77756206616775,24.0,12.0,12.0,0.5,1812.4902408548187,33991.112129495225,13.0,4.0,9.0,0.3076923076923077,1146.4558143660647,15698.420616056284,92.0,51.0,41.0,0.5543478260869565,444.7038601602948,10857.865945916206,0.0,0.0,0.0,0.0,4962.0,5001.0,5092.0,5108.0,5122.0,5146.0,5157.0,5168.0,5342.0,5429.0,0.12787499464665425,-0.21980570404848251,0.04970749318317721,-0.19564952438262426,0.04098361332888414
5,5,5948.301356399425,3685.229787964959,10.191861603456228,6065.452034599137,-2422.4743065842767,15.287792405178816,6098.11111461663,36696.5998738533,9.43547602035903,6124.301356399425,-4302.3194750230305,8.94369190259374,6345.777607541463,10818.459762055005,42.39263589740743,0.938567309070188,116.0,102.0,68.0,269.0,337.0,14.0,979.0,961.0,46.0,22.0,24.0,0.4782608695652174,470.4805159800373,2011.7267341764216,12.0,3.0,9.0,0.25,550.5249987820883,327.02153752673826,24.0,12.0,12.0,0.5,1874.0918036348708,34762.8706876221,13.0,2.0,11.0,0.1538461538461538,1018.08286387667,13337.366452618571,111.0,54.0,57.0,0.4864864864864865,452.888905306503,10711.062538532433,0.0,0.0,0.0,0.0,5946.0,5960.0,6062.0,6074.0,6086.0,6110.0,6122.0,6130.0,6300.0,6399.0,0.12766653453103774,-0.22725731178479924,0.051069903208394524,-0.23663581233032913,0.04186260477623435
6,6,6947.301356399425,1601.589332297592,8.910236958676007,7059.522987071219,-3740.3521533362846,5.095930801728113,7087.827958575917,35076.42820864723,9.611013247432286,7111.301356399425,-6217.804672758693,9.936974663342973,7349.808138396545,10358.47378080032,32.193585047407986,0.9511028823673944,107.0,96.0,74.0,261.0,335.0,11.0,999.0,991.0,15.0,8.0,7.0,0.5333333333333333,469.5120472981971,1875.8758294266847,37.0,31.0,6.0,0.8378378378378378,872.1216588089645,7022.654854340789,24.0,13.0,11.0,0.5416666666666666,1807.6843581075525,31388.480951108817,19.0,2.0,17.0,0.1052631578947368,1171.8722115786384,16704.951445003368,71.0,37.0,34.0,0.5211267605633803,373.4122257352802,10339.262124310826,0.0,0.0,0.0,0.0,6942.0,6953.0,7049.0,7061.0,7075.0,7099.0,7109.0,7123.0,7313.0,7384.0,0.29315383027973174,-0.23316565474485004,0.05153558815495109,-0.18847041250955,0.03604896181012773
7,7,7828.849321800287,1201.6067056770255,5.095930801728113,7927.342539803168,-3067.9820799232684,35.48394164305132,7993.363715443921,33018.91226449669,9.452537211294889,8018.027373698993,-6156.753310615556,16.477912759969506,8247.505913355386,9215.76715396258,32.620070525597626,0.9183509644676492,70.0,66.0,137.0,256.0,393.0,4.0,879.0,905.0,8.0,5.0,3.0,0.625,432.2931197734421,1450.767144540259,83.0,39.0,44.0,0.4698795180722891,417.053321345705,1529.059169053899,23.0,12.0,11.0,0.5217391304347826,1580.4751911271476,26992.128517441794,22.0,7.0,15.0,0.3181818181818182,1037.1731499618552,15381.366769430668,73.0,30.0,43.0,0.410958904109589,405.6471846836567,9120.374622796538,0.0,0.0,0.0,0.0,7826.0,7830.0,7896.0,7947.0,7981.0,8004.0,8014.0,8033.0,8218.0,8289.0,0.3597625726712915,-0.1359373394241389,0.047865755796763186,-0.16846105368125558,0.0440166486312794
8,8,9636.150678199714,3001.770155882929,5.095930801728113,9731.698643600574,-1775.396176015443,10.191861603456228,9773.49803242322,30825.133504413727,9.606830175702097,9799.301356399426,-4663.022845178436,8.636477676237206,10025.732298401308,8587.713788164336,40.00791236782216,0.9385374876988768,91.0,85.0,84.0,264.0,348.0,6.0,1809.0,1779.0,29.0,15.0,14.0,0.5172413793103449,482.9110912249142,2638.099093468183,11.0,6.0,5.0,0.5454545454545454,488.0438277859049,3049.6762292086887,25.0,12.0,13.0,0.48,1558.462093156107,29143.599506842504,13.0,2.0,11.0,0.1538461538461538,973.13507557336,12883.343671784043,86.0,37.0,49.0,0.4302325581395348,452.9923403277926,8396.699406169315,0.0,0.0,0.0,0.0,9635.0,9641.0,9726.0,9737.0,9761.0,9786.0,9797.0,9810.0,9990.0,10074.0,0.16087543887345784,-0.27489291369390656,0.05055816199248438,-0.2086918953398612,0.05274888654907325
9,9,10675.453549651364,2162.717081116999,5.095930801728113,10793.575339099858,-2694.927997766059,2.5479654008640567,10820.752375271406,31301.158101306424,9.68441581485901,10844.150678199714,-6161.740859339423,5.095930801728113,11084.808138396544,8862.211771170452,36.8019990934112,0.9220669831135612,118.0,113.0,60.0,267.0,327.0,5.0,1039.0,1050.0,11.0,6.0,5.0,0.5454545454545454,486.96448786382194,2824.476497990565,3.0,2.0,1.0,0.6666666666666666,812.0246382703187,6451.270105331289,25.0,13.0,12.0,0.52,1559.4350607701524,28287.937750397046,14.0,3.0,11.0,0.2142857142857142,1181.3504572612194,15252.799553144236,108.0,71.0,37.0,0.6574074074074074,459.7115452278462,8528.914212550917,0.0,0.0,0.0,0.0,10674.0,10679.0,10792.0,10795.0,10808.0,10833.0,10843.0,10852.0,11034.0,11119.0,0.22516328747554662,-0.3013158937617037,0.04982036305886925,-0.19172348922636573,0.051873229516284855
