cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
0,0.808990415434879,1634.5753390998561,4771.055021985875,4.671269901584031,18.0,13.0,5.0,0.7222222222222222,0.08980341973419875,1622.0,1640.0,1739.8301356399427,-2671.577053043246,1.8149526238467302,7.0,5.0,2.0,0.7142857142857143,-0.3452736112057184,1735.0,1742.0,1763.4054747397995,34515.58469537044,6.5397778620713645,16.0,8.0,8.0,0.5,0.07034596710316851,1756.0,1771.0,1779.2547965400852,-12805.312585117033,2.8027619409504614,11.0,3.0,8.0,0.2727272727272727,-0.1699008580906897,1776.0,1787.0,2035.5561529395106,8833.601923330116,15.882317665385854,101.0,76.0,25.0,0.7524752475247525,0.050206269813616894,1961.0,2054.0,113.0,95.0,52.0,267.0,319.0,18.0,,
1,0.8649525593643421,2466.6602712798854,3214.7220923486634,3.7370159212672838,10.0,6.0,4.0,0.6,0.09097959385649651,2461.0,2471.0,2558.6602712798854,-5247.8270069416,3.7370159212672838,15.0,11.0,4.0,0.7333333333333333,-0.09221132415720763,2548.0,2563.0,2591.405474739799,36065.58960850174,6.539777862217747,16.0,8.0,8.0,0.5,0.07032457052765456,2583.0,2599.0,2608.6602712798854,-9658.506005572692,3.7370159212672838,9.0,4.0,5.0,0.4444444444444444,-0.20409248477044792,2605.0,2614.0,2851.6410851195396,8986.061314013756,14.948063685069135,59.0,41.0,18.0,0.6949152542372882,0.055530064920727054,2811.0,2869.0,87.0,77.0,66.0,255.0,321.0,10.0,832.0,828.0
2,0.917192969798665,3226.0657460197913,5864.320203525161,10.276793783483992,34.0,21.0,13.0,0.6176470588235294,0.0729859398574224,3205.0,3238.0,3325.8301356399443,-2229.9978123700216,1.8685079606336226,5.0,3.0,2.0,0.6,-0.19337399079467538,3323.0,3328.0,3361.405474739878,41365.89203174193,6.471776444650857,15.0,7.0,8.0,0.4666666666666667,0.06929125793666381,3354.0,3369.0,3377.6602712798854,-9834.145797160843,3.7370159212672407,9.0,4.0,5.0,0.4444444444444444,-0.23327851149783824,3374.0,3383.0,3617.197238059051,10324.33833920926,30.83038135042929,87.0,49.0,38.0,0.5632183908045977,0.04848535431664518,3569.0,3653.0,118.0,85.0,60.0,270.0,330.0,33.0,760.0,770.0
3,0.8823066184560642,4710.235610379742,3440.3076014672174,8.408285822851388,25.0,13.0,12.0,0.52,0.13423505149293571,4702.0,4722.0,4807.169864360057,-2286.6795301519396,1.8685079606336417,5.0,2.0,3.0,0.4,-0.13813194356513586,4805.0,4810.0,4845.4054747397995,37428.396020441505,6.539777862192056,16.0,8.0,8.0,0.5,0.06867393582129074,4837.0,4853.0,4862.190876990054,-10719.868358193544,2.8027619409504627,9.0,3.0,6.0,0.3333333333333333,-0.19731450988918534,4859.0,4868.0,5103.791763319252,10996.795302021903,24.290603488237316,85.0,56.0,29.0,0.6588235294117647,0.026806679548252964,5048.0,5132.0,103.0,83.0,63.0,264.0,327.0,20.0,1484.0,1484.0
4,0.8634105964159228,5429.490406919828,3114.4494590747595,5.605523881900925,19.0,12.0,7.0,0.631578947368421,0.15317360766944815,5417.0,5436.0,5527.339728720114,-3407.5577915208255,3.7370159212672838,21.0,4.0,17.0,0.19047619047619047,-0.0802971354259783,5523.0,5544.0,5565.405474739804,36333.2980815031,6.53977786215628,16.0,8.0,8.0,0.5,0.07341449208515481,5557.0,5573.0,5581.9764107209985,-14609.437584775407,3.7370159212672838,11.0,4.0,7.0,0.36363636363636365,-0.16091972825454362,5578.0,5589.0,5827.556152939511,8220.303621401206,15.882317665385957,74.0,55.0,19.0,0.7432432432432432,0.05745781837204968,5777.0,5846.0,106.0,87.0,66.0,257.0,323.0,19.0,719.0,720.0
5,0.9300094103309253,6179.065746019684,4641.296661662198,10.27679378348503,27.0,14.0,13.0,0.5185185185185185,0.10156897371772859,6166.0,6191.0,6283.830135639943,-2096.016412755856,1.8685079606336419,9.0,7.0,2.0,0.7777777777777778,-0.2213966459722048,6277.0,6286.0,6315.4054747397995,36766.38019262956,6.539777862217747,16.0,8.0,8.0,0.5,0.06984762410103908,6307.0,6323.0,6332.774100314697,-10483.019111839652,3.7370159212672838,11.0,4.0,7.0,0.36363636363636365,-0.2081539910629679,6329.0,6340.0,6559.857509338935,9427.233847864394,34.56739727172237,107.0,56.0,51.0,0.5233644859813084,0.04718314003263587,6526.0,6603.0,111.0,86.0,63.0,263.0,326.0,25.0,750.0,750.0
6,0.9234258609007959,7231.019186160344,6103.495452368077,11.21104776380185,40.0,13.0,27.0,0.325,0.06528701839466579,7218.0,7258.0,7360.830135639943,-2545.6665354745637,1.8685079606336419,10.0,8.0,2.0,0.8,-0.41519525113109046,7353.0,7363.0,7382.4054747397995,41482.73040239075,6.539777862217747,16.0,8.0,8.0,0.5,0.06837369708931451,7375.0,7390.0,7398.745203459915,-6720.423107067038,2.8027619409504627,9.0,3.0,6.0,0.3333333333333333,-0.31357958754390464,7396.0,7405.0,7636.547965400863,9441.618967793635,28.027619409504627,94.0,47.0,47.0,0.5,0.07185479513422757,7604.0,7682.0,135.0,95.0,52.0,277.0,329.0,40.0,1050.0,1067.0
7,0.9355271659396177,9116.679457440201,6140.294298660989,7.4740318425345675,33.0,9.0,24.0,0.2727272727272727,0.060598349734711,9108.0,9128.0,9229.169864360056,-2776.157423376941,1.8685079606336419,8.0,2.0,6.0,0.25,-0.16813968044299776,9227.0,9235.0,9265.4054747398,41675.14765791998,6.539777862217747,16.0,8.0,8.0,0.5,0.06837242421173415,9258.0,9273.0,9282.251195362509,-8974.529702091073,2.8027619409504627,10.0,3.0,7.0,0.3,-0.24827874055537036,9279.0,9289.0,9519.942441518964,9158.248306090245,33.63314329140555,87.0,47.0,40.0,0.5402298850574713,0.042755327137922544,9475.0,9559.0,119.0,99.0,62.0,270.0,332.0,20.0,1886.0,1883.0
8,0.8383641953815857,10062.745203459916,4924.544814222787,2.8027619409504627,45.0,42.0,3.0,0.9333333333333333,0.08568324184007796,10021.0,10066.0,10159.254796540084,-2152.6546050061897,2.3010667315730187,7.0,3.0,4.0,0.42857142857142855,-0.3720405247702951,10156.0,10163.0,10183.4054747398,35952.953432914284,6.539777862160845,16.0,8.0,8.0,0.5,0.07044123216037407,10175.0,10191.0,10199.043295906622,-11925.19684656296,2.8027619409504627,9.0,3.0,6.0,0.3333333333333333,-0.19103437588354763,10196.0,10205.0,10442.04655985934,9645.265628183339,21.48784154728688,83.0,56.0,27.0,0.6746987951807228,0.04878717429218124,10406.0,10467.0,135.0,90.0,49.0,262.0,311.0,45.0,947.0,918.0
9,0.8467450899453759,10869.870298376847,4056.9912397886587,6.539777862217747,15.0,7.0,8.0,0.4666666666666667,0.07760033943769727,10863.0,10878.0,10977.160801661685,-3864.515217729755,5.605523881900925,27.0,21.0,6.0,0.7777777777777778,-0.07348514528948875,10956.0,10983.0,11016.540877178895,34446.57171144379,6.25018281688869,15.0,8.0,7.0,0.5333333333333333,0.07044180985025576,11009.0,11024.0,11033.254796540084,-11588.725124768842,2.8027619409504627,12.0,3.0,9.0,0.25,-0.18089690342092435,11030.0,11042.0,11266.536966779167,8421.743619612918,27.093365429187806,83.0,43.0,40.0,0.5180722891566265,0.03723395602090451,11225.0,11298.0,93.0,78.0,86.0,256.0,342.0,15.0,807.0,833.0
