cycle,component,fwhm,rise_time,decay_time,rise_decay_symmetry,sharpness
0,p,2.0,1.0,1.0,0.5,-1.9854746026146806
0,q,2.0,1.0,1.0,0.5,-0.49509839478670803
0,r,7.0,4.0,3.0,0.5714285714285714,0.6801706946300536
0,s,5.0,3.0,2.0,0.6,-1.4649452432559018
0,t,4.0,1.0,3.0,0.25,-1.013452786162541
1,p,,,,,
1,q,2.0,1.0,1.0,0.5,0.7763705260035242
1,r,2.0,1.0,1.0,0.5,0.6712617250977572
1,s,2.0,1.0,1.0,0.5,0.7763705260035242
1,t,5.0,4.0,1.0,0.8,-1.1464994609700503
2,p,,,,,
2,q,4.0,2.0,2.0,0.5,-0.5869540910342739
2,r,3.0,2.0,1.0,0.6666666666666666,1.4284118598991304
2,s,4.0,3.0,1.0,0.75,-0.9781051188673519
2,t,,,,,
3,p,,,,,
3,q,2.0,1.0,1.0,0.5,-0.7788307591856063
3,r,,,,,
3,s,2.0,1.0,1.0,0.5,-0.7788307591856063
3,t,,,,,
4,p,,,,,
4,q,5.0,4.0,1.0,0.8,-4.957147634092865
4,r,,,,,
4,s,2.0,1.0,1.0,0.5,0.9219088566310948
4,t,,,,,
5,p,,,,,
5,q,6.0,4.0,2.0,0.6666666666666666,-0.8625191744731243
5,r,,,,,
5,s,6.0,5.0,1.0,0.8333333333333334,-0.7028824447199272
5,t,,,,,
6,p,,,,,
6,q,6.0,5.0,1.0,0.8333333333333334,-1.3726599206112104
6,r,,,,,
6,s,5.0,4.0,1.0,0.8,-0.7062069316166454
6,t,,,,,
7,p,,,,,
7,q,5.0,2.0,3.0,0.4,-0.6099315670447243
7,r,,,,,
7,s,5.0,2.0,3.0,0.4,-0.6099315670447243
7,t,,,,,
8,p,,,,,
8,q,5.0,2.0,3.0,0.4,-0.8625327663299304
8,r,,,,,
8,s,5.0,2.0,3.0,0.4,-0.8625327663299304
8,t,,,,,
9,p,,,,,
9,q,3.0,1.0,2.0,0.3333333333333333,-1.2964890821332309
9,r,,,,,
9,s,2.0,1.0,1.0,0.5,-0.4583285289609827
9,t,,,,,
10,p,,,,,
10,q,2.0,1.0,1.0,0.5,16.64465934189719
10,r,,,,,
10,s,2.0,1.0,1.0,0.5,16.64465934189719
10,t,,,,,
11,p,,,,,
11,q,4.0,2.0,2.0,0.5,2.1366500673699544
11,r,,,,,
11,s,4.0,1.0,3.0,0.25,1.419050453418482
11,t,,,,,
12,p,,,,,
12,q,2.0,1.0,1.0,0.5,-0.6224257542495367
12,r,,,,,
12,s,2.0,1.0,1.0,0.5,-0.6224257542495367
12,t,,,,,
13,p,,,,,
13,q,2.0,1.0,1.0,0.5,-1.1018808989387698
13,r,,,,,
13,s,2.0,1.0,1.0,0.5,0.45459160918634073
13,t,,,,,
14,p,,,,,
14,q,2.0,1.0,1.0,0.5,-0.5712505898624822
14,r,,,,,
14,s,2.0,1.0,1.0,0.5,1.8717251506038919
14,t,,,,,
15,p,,,,,
15,q,2.0,1.0,1.0,0.5,1.4408556909630876
15,r,,,,,
15,s,2.0,1.0,1.0,0.5,1.4408556909630876
15,t,,,,,
16,p,,,,,
16,q,5.0,2.0,3.0,0.4,-1.596025849320188
16,r,,,,,
16,s,5.0,3.0,2.0,0.6,-2.5396742377418065
16,t,,,,,
17,p,,,,,
17,q,6.0,2.0,4.0,0.3333333333333333,-0.7702906828441901
17,r,,,,,
17,s,6.0,2.0,4.0,0.3333333333333333,-0.7702906828441901
17,t,,,,,
18,p,,,,,
18,q,2.0,1.0,1.0,0.5,-1.5134219418334312
18,r,,,,,
18,s,2.0,1.0,1.0,0.5,4.025802014755007
18,t,,,,,
19,p,,,,,
19,q,2.0,1.0,1.0,0.5,1.2357391486507707
19,r,,,,,
19,s,3.0,1.0,2.0,0.3333333333333333,-0.6176632065345858
19,t,,,,,
20,p,,,,,
20,q,7.0,6.0,1.0,0.8571428571428571,-3.3596437336297584
20,r,,,,,
20,s,7.0,6.0,1.0,0.8571428571428571,-3.3596437336297584
20,t,,,,,
21,p,,,,,
21,q,3.0,1.0,2.0,0.3333333333333333,-0.5572238867439919
21,r,,,,,
21,s,3.0,2.0,1.0,0.6666666666666666,14.885640129149795
21,t,,,,,
22,p,,,,,
22,q,4.0,3.0,1.0,0.75,-1.341300932703933
22,r,,,,,
22,s,3.0,1.0,2.0,0.3333333333333333,5.769096068370006
22,t,,,,,
23,p,,,,,
23,q,3.0,2.0,1.0,0.6666666666666666,0.867414221733804
23,r,,,,,
23,s,2.0,1.0,1.0,0.5,1.340761787809436
23,t,,,,,
24,p,,,,,
24,q,9.0,4.0,5.0,0.4444444444444444,-70.9372926059066
24,r,,,,,
24,s,5.0,1.0,4.0,0.2,-0.7143385504317137
24,t,,,,,
25,p,,,,,
25,q,2.0,1.0,1.0,0.5,4.12139660309477
25,r,,,,,
25,s,2.0,1.0,1.0,0.5,-0.750701001105254
25,t,,,,,
26,p,,,,,
26,q,2.0,1.0,1.0,0.5,1.6713080975518497
26,r,,,,,
26,s,2.0,1.0,1.0,0.5,1.6713080975518497
26,t,,,,,
27,p,,,,,
27,q,9.0,4.0,5.0,0.4444444444444444,-9.122615442928348
27,r,,,,,
27,s,4.0,3.0,1.0,0.75,-2.029759866872054
27,t,,,,,
28,p,,,,,
28,q,3.0,2.0,1.0,0.6666666666666666,-3.6442491310736504
28,r,,,,,
28,s,5.0,4.0,1.0,0.8,6.384454702883722
28,t,,,,,
29,p,,,,,
29,q,3.0,2.0,1.0,0.6666666666666666,-0.41573949026324886
29,r,,,,,
29,s,8.0,4.0,4.0,0.5,-0.8654605035130042
29,t,,,,,
30,p,,,,,
30,q,13.0,7.0,6.0,0.5384615384615384,-8.1742443412555
30,r,,,,,
30,s,13.0,7.0,6.0,0.5384615384615384,-8.1742443412555
30,t,,,,,
31,p,,,,,
31,q,2.0,1.0,1.0,0.5,-1.5037067162391469
31,r,,,,,
31,s,3.0,2.0,1.0,0.6666666666666666,-0.428109140821504
31,t,,,,,
32,p,,,,,
32,q,2.0,1.0,1.0,0.5,-1.1373786008979012
32,r,,,,,
32,s,2.0,1.0,1.0,0.5,-0.5602458233960491
32,t,,,,,
33,p,,,,,
33,q,11.0,5.0,6.0,0.45454545454545453,-1.496922444424233
33,r,,,,,
33,s,11.0,9.0,2.0,0.8181818181818182,-0.9748900685882133
33,t,,,,,
34,p,,,,,
34,q,2.0,1.0,1.0,0.5,5.770689034560608
34,r,,,,,
34,s,4.0,2.0,2.0,0.5,-2.727512227254664
34,t,,,,,
35,p,,,,,
35,q,2.0,1.0,1.0,0.5,1.5784119381323147
35,r,,,,,
35,s,3.0,2.0,1.0,0.6666666666666666,-1.0086991745901621
35,t,,,,,
36,p,,,,,
36,q,6.0,5.0,1.0,0.8333333333333334,-0.46488871110840213
36,r,,,,,
36,s,14.0,10.0,4.0,0.7142857142857143,-3.9470247853471094
36,t,,,,,
37,p,,,,,
37,q,2.0,1.0,1.0,0.5,1.54191146146915
37,r,,,,,
37,s,9.0,1.0,8.0,0.1111111111111111,-0.9010845061552466
37,t,,,,,
38,p,,,,,
38,q,7.0,4.0,3.0,0.5714285714285714,-1.1276373840222658
38,r,,,,,
38,s,8.0,3.0,5.0,0.375,3.557570749925719
38,t,,,,,
39,p,,,,,
39,q,5.0,4.0,1.0,0.8,-0.6238174775574759
39,r,,,,,
39,s,3.0,1.0,2.0,0.3333333333333333,-1.7441113750898338
39,t,,,,,
40,p,,,,,
